Day,Time,Truck,Location,Pinpoint,Hours,Management,Notes,Link,x,y,ObjectId
Wednesday,Lunch,Maria’s Taqueria,Hurley Building,New Chardon/Cambridge Street on Commonwealth of MA property,11 a.m. - 3 p.m.,City of Boston,,,71.062952,42.361657,69
Friday,Lunch,Eloti,Maverick Sqaure,Sumner Street,11 a.m. - 3 p.m.,City of Boston,,https://www.facebook.com/Eloti-boston-1501267696607623/,-71.03972406,42.36888776,70
Saturday,Dinner,Perros Paisas,Maverick Sqaure,Sumner Street,3 p.m. - 8 p.m.,City of Boston,,https://www.facebook.com/Perros-Paisas-En-Boston-748803585293605/,-71.03974206,42.36887146,71
Thursday,Dinner,Perros Paisas,Maverick Sqaure,Sumner Street,3 p.m. - 8 p.m.,City of Boston,,https://www.facebook.com/Perros-Paisas-En-Boston-748803585293605/,-71.03974206,42.36887146,72
Friday,Dinner,Perros Paisas,Maverick Square,Sumner Street,3 p.m. - 8 p.m.,City of Boston,,https://www.facebook.com/Perros-Paisas-En-Boston-748803585293605/,-71.03974206,42.36887146,73
Wednesday,Dinner,Eloti,Maverick Sqaure,Sumner Street,3 p.m. - 8 p.m.,City of Boston,,,-71.03972406,42.36888776,74
Sunday,Lunch,Eloti,Maverick Square,Sumner Street,11 a.m. - 3 p.m.,City of Boston,,https://www.facebook.com/Eloti-boston-1501267696607623/,-71.03974206,42.36887146,75
Sunday,Dinner,Perros Paisas,Maverick Square,Sumner Street,3 p.m. - 8 p.m.,City of Boston,,https://www.facebook.com/Perros-Paisas-En-Boston-748803585293605/,-71.03972406,42.36888776,76
Friday,Lunch,Savory 1,Opera Place,off Huntington Avenue,11 a.m. - 3 p.m.,City of Boston,,https://www.facebook.com/Savory-Food-Truck-147663185275521/,-71.08904785,42.34063622,77
Friday,Lunch,Suya Joint,Opera Place,Off Huntington Ave,11 a.m. - 3 p.m.,City of Boston,,,-71.08904785,42.34063622,78
Monday,Lunch,Bon Me,Opera Place,off Huntington Ave,11 a.m. - 3 p.m.,City of Boston,,,-71.08904785,42.34063622,79
Monday,Lunch,Zaaki,Opera Place,off Huntington Avenue,11 a.m. - 3 p.m.,City of Boston,,http://zaakifoodtruck.com/menu/,-71.08904785,42.34063622,80
Thursday,Lunch,Chicken & Rice Guys,Opera Place,off Huntington Avenue,3 p.m. - 8 p.m.,City of Boston,,https://cnrguys.com/menu-and-locations/,-71.08904785,42.34063622,81
Thursday,Lunch,Da Bomb Food,Opera Place,off Huntington Avenue,11 a.m. - 3 p.m.,City of Boston,,https://www.facebook.com/Da-Bomb-Truck-1799287196752099/,-71.08904785,42.34063622,82
Thursday,Lunch,Savory 1,Opera Place,off Huntington Avenue,11 a.m. - 3 p.m.,City of Boston,,https://www.facebook.com/Savory-Food-Truck-147663185275521/,-71.08904785,42.34063622,83
Tuesday,Lunch,Kebabish,Opera Place,off Huntington Avenue,11 a.m. - 3 p.m.,City of Boston,,https://www.facebook.com/Kebabish-food-truck-601417943540828/,-71.08904785,42.34063622,84
Tuesday,Lunch,Zinneken's,Opera Place,off Huntington Avenue,11 a.m. - 3 p.m.,City of Boston,,,-71.08904785,42.34063622,85
Wednesday,Lunch,Roxy's Grilled Cheese,Opera Place,Off Huntigton Ave,11 a.m. - 3 p.m.,City of Boston,,,-71.08904785,42.34063622,86
Monday,Dinner,IQ Cooking,Opera Place,off Huntington Ave,3 p.m. - 8 p.m.,City of Boston,,,-71.08904785,42.34063622,87
Tuesday,Dinner,Kebabish,Opera Place,off Huntington Avenue,3 p.m. - 8 p.m.,City of Boston,,https://www.facebook.com/Kebabish-food-truck-601417943540828/,-71.08904785,42.34063622,88
Tuesday,Dinner,Zinneken's,Opera Place,off Huntington Avenue,3 p.m. - 8 p.m.,City of Boston,,http://zinnekenswaffles.com/,-71.08904785,42.34063622,89
Wednesday,Lunch,Bibim Box,Opera Place,off Huntington Ave,11 a.m. - 3 p.m.,City of Boston,,,-71.08904785,42.34063622,90
Wednesday,Dinner,Chicken & Rice Guys,Opera Place,Off Huntington Ave,3 p.m. - 8 p.m.,City of Boston,,https://cnrguys.com/menu-and-locations/,-71.08904785,42.34063622,91
Wednesday,Dinner,Teri-Yummy,Opera Place,Off Huntington Ave,11 a.m. - 3 p.m.,City of Boston,,https://www.teri-yummy.com/,-71.08904785,42.34063622,92
Friday,Breakfast,Muddy Water,Seaport,75-85 Northern Avenue,7 a.m. - 11 a.m.,City of Boston,,,-71.044555,42.352306,93
Monday,Lunch,Chicken & Rice Guys,Seaport,75-85 Northern Ave,11 a.m. - 3 p.m.,City of Boston,,,-71.044555,42.352306,94
Tuesday,Breakfast,Muddy Water,Seaport,75-85 Northern Ave,7 a.m. - 11 a.m.,City of Boston,,,-71.044555,42.352306,95
Friday,Lunch,Tenoch,Seaport,75-85 Northern Ave,11 a.m. - 3 p.m.,City of Boston,,,-71.044555,42.352306,96
Thursday,Lunch,Across the Border,Seaport,75-85 Northern Avenue,11 a.m. - 3 p.m.,City of Boston,,https://www.boston.gov/departments/small-business-development/city-boston-food-trucks-schedule,-71.044555,42.352306,97
Tuesday,Lunch,Tenoch,Seaport,75-85 Northern Ave,11 a.m. - 3 p.m.,City of Boston,,,-71.044555,42.352306,98
Wednesday,Lunch,Melt Food truck,Seaport,75-85 Northern Ave,11 a.m. - 3 p.m.,City of Boston,,,-71.044555,42.352306,99
Wednesday,Breakfast,Muddy Water,Seaport,75-85 Northern Avenue,7 a.m. - 11 a.m.,City of Boston,,,-71.044555,42.352306,100
Friday,Lunch,Chubby Chickpea,Stuart Street,at Trinity Place,11 a.m. - 3 p.m.,City of Boston,,https://www.thechubbychickpea.com/food-truck,-71.07578404,42.34836783,101
Friday,Lunch,Moyzilla ,Stuart Street,at Trinity Place,11 a.m. - 3 p.m.,City of Boston,,http://www.moyzillaboston.com/,-71.07578404,42.34836783,102
Friday,Lunch,North East of the Border,Stuart Street,at Trinity Place,11 a.m. - 3 p.m.,City of Boston,,http://www.neotbtruck.com/,-71.07578404,42.34836783,103
Monday,Lunch,Kebabish,Stuart Street,at Trinity Place,11 a.m. - 3 p.m.,City of Boston,,https://www.facebook.com/Kebabish-food-truck-601417943540828/,-71.07578404,42.34836783,104
Monday,Lunch,Kowloon ,Stuart Street,at Trinity Place,11 a.m. - 3 p.m.,City of Boston,,https://www.kowloonrestaurant.com/,-71.07578404,42.34836783,105
Monday,Lunch,Sa Pa,Stuart Street,at Trinity Place,11 a.m. - 3 p.m.,City of Boston,,https://sa-pa.com/,-71.07578404,42.34836783,106
Tuesday,Lunch,Stoked Wood Fire Pizza,Stuart Street,at Trinity Place,11 a.m. - 3 p.m.,City of Boston,,,-71.07578404,42.34836783,107
Wednesday,Lunch,Teri Yummy,Stuart Street,at Trinity Place,11 a.m. - 3 p.m.,City of Boston,,,-71.07578404,42.34836783,108
Thursday,Lunch,Bibim Box ,Stuart Street,at Trinity Place,11 a.m. - 3 p.m.,City of Boston,,https://www.facebook.com/pages/category/Food-Truck/Bibim-Box-1751040118466317/,-71.07578404,42.34836783,109
Thursday,Lunch,Chik Chak,Stuart Street,at Trinity Place,11 a.m. - 3 p.m.,City of Boston,,ChikChakfoodTruck.com,-71.07578404,42.34836783,110
Thursday,Lunch,Indulge India,Stuart Street,Trinity Place,11 a.m. - 3 p.m.,City of Boston,,,-71.07578404,42.34836783,111
Tuesday,Lunch,Chicken & Rice Guys,Stuart Street,at Trinity Place,11 a.m. - 3 p.m.,City of Boston,,https://cnrguys.com/menu-and-locations/,-71.07578404,42.34836783,112
Tuesday,Lunch,Gogi On the Block ,Stuart Street,at Trinity Place,11 a.m. - 3 p.m.,City of Boston,,http://gogiontheblock.com/,-71.07578404,42.34836783,113
Wednesday,Lunch,Amigos Locos ,Stuart Street,at Trinity Place,11 a.m. - 3 p.m.,City of Boston,,https://www.facebook.com/amigoslocosfoodtruck/,-71.07578404,42.34836783,114
Wednesday,Lunch,Tenoch,Stuart Street,at Trinity Place,11 a.m. - 3 p.m.,City of Boston,,http://www.tenochmexican.com/,-71.07578404,42.34836783,115
Friday,Lunch,Baja Taco,West End,Blossom Street at Emerson Place,11 a.m. - 3 p.m.,City of Boston,,hhtp://bajatacotruck.com/main-page.html,-71.06844662,42.36413472,116
Monday,Lunch,Teri-Yummy,West End,Blossom Street at Emerson Place,11 a.m. - 3 p.m.,City of Boston,,https://www.teri-yummy.com/,-71.06844662,42.36413472,117
Thursday,Lunch,Bon Me,West End,Blossom Street at Emerson Place,11 a.m. - 3 p.m.,City of Boston,,hhtp://www.bonmetruck.com/,-71.06844662,42.36413472,118
Tuesday,Lunch,Posto Mobile,West End,Blossom St at Emerson Pl,11 a.m. - 3 p.m.,City of Boston,,https://www.postomobile.com/,-71.06844662,42.36413472,119
